"C1"	"535,630,534,779"
"C140"	"556,53,32,295,146,555,654,825,323,154,160,76,1069,80,37,1384,12,33,13,312,728,1169,174,81,104,194,120,458,696,451,75,175,253,1249,538,651,74,103"
"C141"	"53,32,146,154,160,76,80,37,12,33,13,728,81,194,75,74"
"C142"	"76,37,13,728,75,74"
"C143"	"53,32,146,154,160,76,80,37,12,33,13,728,81,194,75,74"
"C144"	"53,32,146,154,160,76,80,37,12,33,13,728,81,194,75,74"
"C145"	"53,80,37,33,728"
"C146"	"556,555,654,1384,696"
"C149"	"555,1384"
"C150"	"295,825,312,174,104,458,175,253,651,103"
"C151"	"1,107,14,7,2,43,139,70,6,130,34,31,42,84,230,1156,35,105,8,286,483,36,86,121,4,20,102,3,115,383,271,651,9,106"
"C152"	"107,43,70,34,1156,35,105,286,121,102,115,383,106"
"C153"	"1,14,7,2,139,6,130,31,42,84,230,8,483,36,86,4,20,3,651,9"
"C154"	"32,892,154,160,657,33,205,143,142,252,194,166,651"
"C155"	"32,892,154,160,33,205,143,142,252,194,166,651"
"C156"	"596,245,1102,1273,1103,785,305,598,289,1274,597,677,299,243,244"
"C157"	"596,785,598,597,677"
"C158"	"596,598,597,677"
"C159"	"1102,1273,1103,1274"
"C160"	"245,305,289,299,243,244"
"C161"	"325,327,1411,314,170,204,920,171,346,335"
"C162"	"1403,457,424,1400,1404,1405"
